Caso;Monto;Año;Responsable;Sector;Partido;Año inicio;Año fin;Comuna;Posición;Beneficiado;Perjudicado;Objetivo;Fundación;Delitos;Estado;Sentencia;Condena;Conclusión;Fuente1;Fuente2;Fuente3;Fuente4;Fuente5
Alcaldesa de Viña del Mar (Virginia Reginato);100.000.000.000;2021;Virginia Reginato;Derecha;UDI;2016;2021;Viña del Mar;Alcalde;;Municipio;;;fraude al fisco, abandono de deberes;;;;;https://www.biobiochile.cl/noticias/nacional/region-de-valparaiso/2022/09/23/auditoria-revela-caos-municipal-en-administracion-reginato-100-mil-millones-en-perdidas.shtml;https://www.publimetro.cl/noticias/2022/09/23/100-mil-millones-las-perdidas-de-virginia-reginato-en-municipalidad-de-vina-del-mar/;https://www.fastcheck.cl/2023/05/16/misterio-sin-resolver-ocho-escandalos-de-corrupcion-municipal-pendientes-de-justicia/;;
Alcaldesa de Maipú (Cathy Barriga);41.000.000.000;2024;Cathy Barriga;Derecha;UDI;;;Maipú;Alcalde;;Municipio;;;fraude al fisco y falsificación de instrumento público;;;;prisión preventiva;https://radio.uchile.cl/2024/01/17/en-suspenso-prision-preventiva-para-cathy-barriga-tribunal-dictara-cautelar-este-jueves/;https://lavozdemaipu.cl/cathy-barriga-ultimo-informe-con-peras-y-manzanas/;https://www.tvn.cl/programas/buenos-dias-a-todos/actualidad/caso-cathy-barriga-los-41-mil-millones-de-pesos-que-no-se-saben-donde;;
Fraude en Carabineros, Pacogate;35.000.000.000;2016;Eduardo Gordon, Gustavo González, Bruno Villalobos;Ninguno;;2006;2017;;Carabineros;;;;;malversación de caudales públicos;;;;;https://es.wikipedia.org/wiki/Pacogate#Investigación_y_sentencias;;;;
Caso Penta;30.100.000.000;2014;Jovino Novoa, Carlos Alberto Délano;Derecha;UDI;2014;;;Privado;;Privado;Financiamiento político;;fraude tributario, emisión de facturas ideológicamente falsas;;;;;;;;;
Sebastián Piñera (LAN);19.840.000.000;2006;Sebastián Piñera;Derecha;RN;;;;Presidente;;;;;compra de acciones coninformación privilegiada;;;;multa;https://interferencia.cl/articulos/tres-graves-casos-de-corrupcion-en-que-latam-se-ha-visto-envuelta-en-su-historia-reciente;;;;
Pinocheques;18.400.000.000;1989;Augusto Pinochet;Derecha;;;;;;;;;;fraude tributario, uso de pasaportes falsos;;;;impunidad;https://es.wikipedia.org/wiki/Pinocheques;;;;
Fraude en el Ejército, Milicogate;14.300.000.000;2019;Óscar Izurieta, Juan Miguel Fuente-Alba, Humberto Oviedo;Ninguno;;2006;2018;;;;Fisco;;;fraude fiscal, enriquecimiento ilícito;;;;;https://es.wikipedia.org/wiki/Milicogate;https://www.latercera.com/la-tercera-domingo/noticia/el-metodo-rutherford-como-fueron-cayendo-uno-a-uno-los-comandantes-en-jefe-por-el-fraude-en-el-ejercito/IVKUSHEYJBDYHMSYZ4R3KZXQE4/;;;
Caso SQM;12.000.000.000;2015;;Ninguno;;2015;2018;;Privado;;;Financiamiento político;;financiamiento irregular de políticos, emisión de boletas ideológicamente falsas;;;;;https://www.chiletransparente.cl/caso-sqm/;;;;
Exalcalde de Talca (Juan Castro);11.000.000.000;2018;Juan Castro;Derecha;RN;;;Talca;Alcalde;;;;;malversación de fondos, cohecho, negociación incompatible;;;;;https://www.ciperchile.cl/2018/04/02/los-negocios-ilicitos-de-juan-castro-el-ex-alcalde-de-talca-que-llego-al-senado/;;;;
Alcalde de San Joaquín (Sergio Echeverria);10.210.000.000;2021;Sergio Echeverria;Centro;PPD;2017;2020;San Joaquín;Alcalde;;Municipio;;;saldos no rendidos ni justificados;En investigación;;;;https://www.meganoticias.cl/nacional/402950-malversacion-10-mil-millones-educacion-sergio-echeverria-exalcalde-san-joaquin-19-01-2023.html;;;;
