cut_comuna;comuna;cut_region;region
1101;Iquique;1;Tarapacá
1107;Alto Hospicio;1;Tarapacá
1401;Pozo Almonte;1;Tarapacá
1402;Camiña;1;Tarapacá
1403;Colchane;1;Tarapacá
1404;Huara;1;Tarapacá
1405;Pica;1;Tarapacá
2101;Antofagasta;2;Antofagasta
2102;Mejillones;2;Antofagasta
2103;Sierra Gorda;2;Antofagasta
2104;Taltal;2;Antofagasta
2201;Calama;2;Antofagasta
2202;Ollagüe;2;Antofagasta
2203;San Pedro de Atacama;2;Antofagasta
2301;Tocopilla;2;Antofagasta
2302;María Elena;2;Antofagasta
3101;Copiapó;3;Atacama
3102;Caldera;3;Atacama
3103;Tierra Amarilla;3;Atacama
3201;Chañaral;3;Atacama
3202;Diego de Almagro;3;Atacama
3301;Vallenar;3;Atacama
3302;Alto del Carmen;3;Atacama
3303;Freirina;3;Atacama
3304;Huasco;3;Atacama
4101;La Serena;4;Coquimbo
4102;Coquimbo;4;Coquimbo
4103;Andacollo;4;Coquimbo
4104;La Higuera;4;Coquimbo
4105;Paiguano;4;Coquimbo
4106;Vicuña;4;Coquimbo
4201;Illapel;4;Coquimbo
4202;Canela;4;Coquimbo
4203;Los Vilos;4;Coquimbo
4204;Salamanca;4;Coquimbo
4301;Ovalle;4;Coquimbo
4302;Combarbalá;4;Coquimbo
4303;Monte Patria;4;Coquimbo
4304;Punitaqui;4;Coquimbo
4305;Río Hurtado;4;Coquimbo
5101;Valparaíso;5;Valparaíso
5102;Casablanca;5;Valparaíso
5103;Concón;5;Valparaíso
5104;Juan Fernández;5;Valparaíso
5105;Puchuncaví;5;Valparaíso
5107;Quintero;5;Valparaíso
5109;Viña del Mar;5;Valparaíso
5201;Isla de Pascua;5;Valparaíso
5301;Los Andes;5;Valparaíso
5302;Calle Larga;5;Valparaíso
5303;Rinconada;5;Valparaíso
5304;San Esteban;5;Valparaíso
5401;La Ligua;5;Valparaíso
5402;Cabildo;5;Valparaíso
5403;Papudo;5;Valparaíso
5404;Petorca;5;Valparaíso
5405;Zapallar;5;Valparaíso
5501;Quillota;5;Valparaíso
5502;Calera;5;Valparaíso
5503;Hijuelas;5;Valparaíso
5504;La Cruz;5;Valparaíso
5506;Nogales;5;Valparaíso
5601;San Antonio;5;Valparaíso
5602;Algarrobo;5;Valparaíso
5603;Cartagena;5;Valparaíso
5604;El Quisco;5;Valparaíso
5605;El Tabo;5;Valparaíso
5606;Santo Domingo;5;Valparaíso
5701;San Felipe;5;Valparaíso
5702;Catemu;5;Valparaíso
5703;Llaillay;5;Valparaíso
5704;Panquehue;5;Valparaíso
5705;Putaendo;5;Valparaíso
5706;Santa María;5;Valparaíso
5801;Quilpué;5;Valparaíso
5802;Limache;5;Valparaíso
5803;Olmué;5;Valparaíso
5804;Villa Alemana;5;Valparaíso
6101;Rancagua;6;Libertador Gral. Bernardo O'Higgins
6102;Codegua;6;Libertador Gral. Bernardo O'Higgins
6103;Coinco;6;Libertador Gral. Bernardo O'Higgins
6104;Coltauco;6;Libertador Gral. Bernardo O'Higgins
6105;Doñihue;6;Libertador Gral. Bernardo O'Higgins
6106;Graneros;6;Libertador Gral. Bernardo O'Higgins
6107;Las Cabras;6;Libertador Gral. Bernardo O'Higgins
6108;Machalí;6;Libertador Gral. Bernardo O'Higgins
6109;Malloa;6;Libertador Gral. Bernardo O'Higgins
6110;Mostazal;6;Libertador Gral. Bernardo O'Higgins
6111;Olivar;6;Libertador Gral. Bernardo O'Higgins
6112;Peumo;6;Libertador Gral. Bernardo O'Higgins
6113;Pichidegua;6;Libertador Gral. Bernardo O'Higgins
6114;Quinta de Tilcoco;6;Libertador Gral. Bernardo O'Higgins
6115;Rengo;6;Libertador Gral. Bernardo O'Higgins
6116;Requínoa;6;Libertador Gral. Bernardo O'Higgins
6117;San Vicente;6;Libertador Gral. Bernardo O'Higgins
6201;Pichilemu;6;Libertador Gral. Bernardo O'Higgins
6202;La Estrella;6;Libertador Gral. Bernardo O'Higgins
6203;Litueche;6;Libertador Gral. Bernardo O'Higgins
6204;Marchihue;6;Libertador Gral. Bernardo O'Higgins
6205;Navidad;6;Libertador Gral. Bernardo O'Higgins
6206;Paredones;6;Libertador Gral. Bernardo O'Higgins
6301;San Fernando;6;Libertador Gral. Bernardo O'Higgins
6302;Chépica;6;Libertador Gral. Bernardo O'Higgins
6303;Chimbarongo;6;Libertador Gral. Bernardo O'Higgins
6304;Lolol;6;Libertador Gral. Bernardo O'Higgins
6305;Nancagua;6;Libertador Gral. Bernardo O'Higgins
6306;Palmilla;6;Libertador Gral. Bernardo O'Higgins
6307;Peralillo;6;Libertador Gral. Bernardo O'Higgins
6308;Placilla;6;Libertador Gral. Bernardo O'Higgins
6309;Pumanque;6;Libertador Gral. Bernardo O'Higgins
6310;Santa Cruz;6;Libertador Gral. Bernardo O'Higgins
7101;Talca;7;Maule
7102;Constitución;7;Maule
7103;Curepto;7;Maule
7104;Empedrado;7;Maule
7105;Maule;7;Maule
7106;Pelarco;7;Maule
7107;Pencahue;7;Maule
7108;Río Claro;7;Maule
7109;San Clemente;7;Maule
7110;San Rafael;7;Maule
7201;Cauquenes;7;Maule
7202;Chanco;7;Maule
7203;Pelluhue;7;Maule
7301;Curicó;7;Maule
7302;Hualañé;7;Maule
7303;Licantén;7;Maule
7304;Molina;7;Maule
7305;Rauco;7;Maule
7306;Romeral;7;Maule
7307;Sagrada Familia;7;Maule
7308;Teno;7;Maule
7309;Vichuquén;7;Maule
7401;Linares;7;Maule
7402;Colbún;7;Maule
7403;Longaví;7;Maule
7404;Parral;7;Maule
7405;Retiro;7;Maule
7406;San Javier;7;Maule
7407;Villa Alegre;7;Maule
7408;Yerbas Buenas;7;Maule
8101;Concepción;8;Biobío
8102;Coronel;8;Biobío
8103;Chiguayante;8;Biobío
8104;Florida;8;Biobío
